Timestamp,"When you move outside your hostel, with how many people do you usually move together? [-]",How many different friend circles do you have? [-],"During weekdays, apart from class hours, 𝗵𝗼𝘄 𝗺𝗮𝗻𝘆 𝗱𝗮𝘆𝘀 𝗶𝗻 𝗮 𝘄𝗲𝗲𝗸 do you usually step out from your hostel?  [-]","During weekdays, apart from class hours, roughly for 𝗵𝗼𝘄 𝗺𝗮𝗻𝘆 𝗵𝗼𝘂𝗿𝘀 do you stay outside your hostel 𝗶𝗻 𝗮 𝗱𝗮𝘆?  [-]","During 𝘄𝗲𝗲𝗸𝗱𝗮𝘆𝘀, what are your frequent places of visit?","During weekdays, apart from class hours, how many 𝗱𝗶𝗳𝗳𝗲𝗿𝗲𝗻𝘁 𝗽𝗹𝗮𝗰𝗲𝘀 (from the above list) do you usually visit in a 𝘀𝗶𝗻𝗴𝗹𝗲 𝗱𝗮𝘆? [-]",How many times do you usually eat out (Canteen/Restaurants/Eateries) 𝗶𝗻 𝗮 𝘄𝗲𝗲𝗸? [-],What are the eateries that you frequently visit?,Choose the time frames when you usually step out from your hostel during 𝘄𝗲𝗲𝗸𝗲𝗻𝗱𝘀.,"During 𝘄𝗲𝗲𝗸𝗲𝗻𝗱𝘀, what are your frequent places of visit?",When do you usually return to your room to sleep (if you go out)?,Your academic program,Current Year of study,Hostel of Residence,"Your department (Use short code ex. CSE, ME, EE, BB)"
4/13/2021 15:21:29,4,2,5,5,A Department,2,7,I generally eat in mess,"9AM-11AM, 1PM-3PM, 5PM-7PM, 9PM-11PM",A Department,1am-2am,PG,1 st,I2,CSE
4/13/2021 15:22:03,5,5,5,7,A Department,3,8,I generally eat in mess,"5PM-7PM, 7PM-9PM, 9PM-11PM",Cricket ground,1am-2am,PG,2 nd,G5,CSE
4/13/2021 15:22:28,3,1,1,1,I don't go anywhere,1,1,I generally eat in mess,5PM-7PM,I don't go anywhere,I usually stay in my room,PG,2 nd,B3,PH
4/13/2021 15:22:38,2,3,4,2,Kendriya Bhandar,2,1,I generally eat in mess,Never,Kendriya Bhandar,I usually stay in my room,UG,2 nd,I2,ME
4/13/2021 15:22:47,4,5,5,2,Kendriya Bhandar,4,8,Canteen,"9AM-11AM, 11AM-1PM, 5PM-7PM, 7PM-9PM, 9PM-11PM",Kendriya Bhandar,"1am-2am, 2am-3am",PG,2 nd,G5,EE
4/13/2021 15:22:50,2,1,5,5,Kendriya Bhandar,2,5,Meat Loaf Shop,9AM-11AM,Kendriya Bhandar,"9pm-10pm, 10pm-11pm",PG,2 nd,G6,BB
4/13/2021 15:22:56,4,2,3,4,Kendriya Bhandar,1,1,Canteen,"9AM-11AM, 5PM-7PM, 9PM-11PM",Football Ground,10pm-11pm,UG,2 nd,I 2,BB
4/13/2021 15:23:08,2,3,4,4,Football Ground,4,3,Meat Loaf Shop,"1PM-3PM, 5PM-7PM, 7PM-9PM",Football Ground,1am-2am,UG,5 th,G6,CSE
4/13/2021 15:23:26,2,1,1,1,I don't go anywhere,1,1,I generally eat in mess,Never,I don't go anywhere,I usually stay in my room,UG,3 rd,G-6,EE
4/13/2021 15:23:32,2,1,3,4,Cricket ground,1,2,Canteen,"5PM-7PM, 7PM-9PM, 9PM-11PM",Cricket ground,12am-1am,UG,2 nd,I2,BB
4/13/2021 15:23:32,2,1,5,8,A Department,2,8,Canteen,11AM-1PM,A Department,12am-1am,PG,2 nd,G-6,CSE
4/13/2021 15:23:34,1,2,2,1,Kendriya Bhandar,1,2,I generally eat in mess,"1PM-3PM, 7PM-9PM",I don't go anywhere,11pm-12am,UG,3 rd,G-6,ME
4/13/2021 15:24:04,2,2,5,2,A Department,2,3,I generally eat in mess,7PM-9PM,A Department,1am-2am,PG,2 nd,B2,cse
4/13/2021 15:24:07,3,2,5,8,A Department,4,4,I generally eat in mess,"7PM-9PM, 9PM-11PM",A Department,2am-3am,PG,2 nd,G-6,CSE
4/13/2021 15:24:22,2,1,1,1,A Department,1,2,I generally eat in mess,Never,Kendriya Bhandar,1am-2am,PG,1 st,G4,CSE
4/13/2021 15:24:35,1,1,2,1,Kendriya Bhandar,1,1,Canteen,"1PM-3PM, 9PM-11PM",Kendriya Bhandar,I usually stay in my room,UG,2 nd,B5,Cse
4/13/2021 15:25:22,3,2,4,1,Kendriya Bhandar,2,4,Canteen,"5PM-7PM, 9PM-11PM",Kendriya Bhandar,11pm-12am,UG,4 th,B2,ME
4/13/2021 15:25:26,3,1,4,5,Other,2,1,I generally eat in mess,"9AM-11AM, 1PM-3PM, 5PM-7PM, 9PM-11PM",Other,"11pm-12am, 12am-1am",PG,2 nd,B2,MA
4/13/2021 15:25:58,2,3,1,1,Football Ground,3,1,I generally eat in mess,5PM-7PM,Football Ground,10pm-11pm,UG,4 th,B1,ME
4/13/2021 15:26:03,1,1,3,1,Kendriya Bhandar,1,4,I generally eat in mess,3PM-5PM,Kendriya Bhandar,9pm-10pm,PG,2 nd,B-5,PH
4/13/2021 15:26:08,2,3,1,1,Football Ground,3,1,I generally eat in mess,5PM-7PM,Football Ground,10pm-11pm,UG,4 th,B1,ME
4/13/2021 15:26:52,3,3,3,4,Outside Campus,2,8,Canteen,"5PM-7PM, 7PM-9PM, 9PM-11PM",Outside Campus,11pm-12am,UG,3 rd,G6,CSE
4/13/2021 15:26:55,4,2,2,2,Tennis court,1,3,I generally eat in mess,"9AM-11AM, 1PM-3PM, 5PM-7PM, 9PM-11PM",Tennis court,11pm-12am,UG,4 th,B2,EE
4/13/2021 15:26:56,2,1,1,2,Kendriya Bhandar,1,1,I generally eat in mess,7PM-9PM,I don't go anywhere,"9pm-10pm, I usually stay in my room",UG,2 nd,B5,ME
4/13/2021 15:27:32,2,2,3,1,A Department,1,3,Meat Loaf Shop,5PM-7PM,Football Ground,9pm-10pm,PG,2 nd,B2 ,PH
4/13/2021 15:28:03,3,1,5,2,A Department,2,1,I generally eat in mess,5PM-7PM,Football Ground,10pm-11pm,PG,1 st,I2,ME
4/13/2021 15:28:07,4,2,4,3,Football Ground,2,2,Canteen,"9AM-11AM, 7PM-9PM",Kendriya Bhandar,1am-2am,UG,2 nd,I2,BB
4/13/2021 15:28:32,4,1,2,2,Lecture Hall Complex,1,2,I generally eat in mess,9PM-11PM,Lecture Building,"11pm-12am, 12am-1am",UG,2 nd,B5,ME
4/13/2021 15:28:35,4,1,4,1,Basketball court,2,1,I generally eat in mess,7PM-9PM,Basketball court,9pm-10pm,UG,2 nd,G4,ME
4/13/2021 15:29:32,1,4,2,2,Football Ground,2,2,I generally eat in mess,7PM-9PM,Football Ground,10pm-11pm,PG,1 st,-,-
4/13/2021 15:29:37,1,2,2,1,A Department,2,1,I generally eat in mess,"9AM-11AM, 11AM-1PM",A Department,9pm-10pm,PG,2 nd,B5,EE
4/13/2021 15:30:33,3,3,3,4,"Gymkhana, Football Ground, A Department",3,1,"I generally eat in mess, Canteen","5PM-7PM, 7PM-9PM","Gymkhana, Football Ground, Cricket ground",10pm-11pm,PG,2 nd,I2,SS
4/13/2021 15:30:37,1,1,3,2,"Basketball court, Kendriya Bhandar",2,4,"I generally eat in mess, Canteen","11AM-1PM, 5PM-7PM, 9PM-11PM",Basketball court,I usually stay in my room,UG,3 rd,G5,ME
4/13/2021 15:30:53,2,1,5,4,Football Ground,3,4,Canteen,9AM-11AM,Football Ground,"11pm-12am, 12am-1am",UG,2 nd,I2,BB
4/13/2021 15:31:53,2,2,3,5,"Football Ground, A Department, Kendriya Bhandar, Other",2,1,"I generally eat in mess, Canteen","7PM-9PM, 9PM-11PM","Football Ground, A Department, Kendriya Bhandar","12am-1am, I usually stay in my room",PG,2 nd,B2,CSE
4/13/2021 15:33:03,8,5,5,3,"Lecture Hall Complex, Other Hostel of Residence, Outside Campus, A Department, Kendriya Bhandar, Community Center",3,8,"Canteen, Meal on Wheels-near CSE buildings","11AM-1PM, 5PM-7PM, 9PM-11PM","Other Hostel of Residence, Football Ground, Outside Campus, A Department, Kendriya Bhandar, Community Center","11pm-12am, 12am-1am",UG,2 nd,I-2,CSE
4/13/2021 15:34:08,3,3,5,4,"Library, Lecture Hall Complex, A Department, Kendriya Bhandar",2,4,"Canteen, Meal on Wheels-near CSE buildings","9AM-11AM, 1PM-3PM, 5PM-7PM","Outside Campus, Kendriya Bhandar",12am-1am,UG,3 rd,B2,BB
4/13/2021 15:36:04,4,1,5,8,"A Department, Kendriya Bhandar",3,7,"I generally eat in mess, Canteen","9AM-11AM, 11AM-1PM, 3PM-5PM, 7PM-9PM","Cricket ground, A Department, Kendriya Bhandar",10pm-11pm,PG,4 th,B2,CSE
4/13/2021 15:36:22,3,2,4,2,"Library, Lecture Hall Complex, Computer center",2,1,"I generally eat in mess, Canteen, Meal on Wheels-near CSE buildings","9AM-11AM, 9PM-11PM",Other,I usually stay in my room,UG,2 nd,G4,EE
4/13/2021 15:36:49,1,2,5,6,"A Department, Kendriya Bhandar",1,4,"I generally eat in mess, Canteen","11AM-1PM, 7PM-9PM","Football Ground, A Department, Kendriya Bhandar",12am-1am,PG,2 nd,B3,EE
4/13/2021 15:36:50,2,1,3,1,Kendriya Bhandar,2,4,Canteen,9PM-11PM,I don't go anywhere,11pm-12am,PG,1 st,I2,SME
4/13/2021 15:37:43,2,2,5,3,Football Ground,2,3,Meal on Wheels-near CSE buildings,5PM-7PM,Kendriya Bhandar,10pm-11pm,PG,1 st,G4,EE
4/13/2021 15:38:39,1,5,4,8,"Outside Campus, A Department, Kendriya Bhandar, Community Center",4,8,"I generally eat in mess, Canteen, Meal on Wheels-near CSE buildings, Meals on Wheels-near ME buildings., Meat Loaf Shop, Outside Campus","11AM-1PM, 1PM-3PM, 3PM-5PM, 5PM-7PM","Lecture Building, Other Hostel of Residence, Outside Campus, A Department, Kendriya Bhandar, Community Center","10pm-11pm, 11pm-12am",PG,3 rd,G6,ME
